"sos","eos","los","pop","mgs","rsp","rau","peak","msp","mau","sensornode","year"
215,238,23,226,0.427554289676267,0.00566518627844392,-0.00290553947518429,0.43927921648289,0.40214308447672,0.414218410967758,"1","2019"
205,229,24,216,0.414203145259655,0.0045058085503662,-0.0022229972267892,0.423603814266389,0.394796438357859,0.402439752848374,"1","2020"
204,238,34,217,0.409998306323944,0.00407797090694256,-0.00198940286271704,0.420248859565479,0.393168836919891,0.391983397055324,"1","2021"
187,234,47,204,0.42765950959558,0.0072398300009221,-0.00406439591971747,0.44117830346223,0.39555946430517,0.390324082723541,"6","2017"
167,220,53,189,0.419805654769606,0.00691585121223609,-0.00495590894804437,0.43130614294026,0.383438488359796,0.380771997272268,"6","2018"
197,244,47,214,0.421683414190689,0.00888956259700757,-0.00487079563837889,0.434686435016405,0.38717116104957,0.379738891634197,"6","2019"
174,229,55,196,0.41736112894495,0.005473894177284,-0.00332503374467158,0.431322181296966,0.384239109120017,0.382100225019367,"6","2020"
176,230,54,199,0.416314856348718,0.0051866392719615,-0.00391612726182977,0.429087115594841,0.385537498177018,0.379225100302202,"6","2021"
182,241,59,203,0.464594430624719,0.00503411409202753,-0.00226306390789949,0.482148464540899,0.43291363240059,0.43029686437523,"7","2017"
163,223,60,187,0.448599406703041,0.00366135740572726,-0.0022104170178131,0.462429952504131,0.422404284626847,0.418711728296084,"7","2018"
191,244,53,211,0.465511391592213,0.00569234407429092,-0.00300364549969473,0.483362673517295,0.432513066148516,0.427614917616178,"7","2019"
175,238,63,205,0.442717971138884,0.00234099321179693,-0.00208453919997209,0.456172582078254,0.418599917392589,0.416113343795359,"7","2020"
175,239,64,200,0.454410479953994,0.00435063685969028,-0.00245985984095837,0.46958555353806,0.422535924237528,0.420332713152092,"7","2021"
175,233,58,195,0.42644895400222,0.00360507012060235,-0.00152560281682157,0.437386321943411,0.405590461448898,0.404195361390044,"8","2017"
158,210,52,176,0.42584000814675,0.00390732930434712,-0.00175296748136022,0.436953746205837,0.404293182197337,0.403581857644994,"8","2018"
187,234,47,203,0.437586866833971,0.00467332174042362,-0.00162256636959462,0.450534862223003,0.414077788056766,0.416060444686572,"8","2019"
159,215,56,183,0.403648273703545,0.00188569168229608,-0.00128430549325154,0.411097668249905,0.38914799125919,0.388412072597493,"8","2020"
171,224,53,189,0.409417683151096,0.00454789857783333,-0.00210789321973087,0.415811082399901,0.391057610428022,0.388645766798549,"8","2021"
NA,247,NA,NA,NA,NA,-0.00135147075356512,NA,NA,0.36531908366689,"9","2017"
151,236,85,183,0.389358413781594,0.00271180175083924,-0.00148740899777128,0.398161029998306,0.366739866098553,0.364964062077287,"9","2018"
173,251,78,201,0.395094721559549,0.00323395788216724,-0.00152995664902567,0.405537996986015,0.371029643518899,0.369275240653981,"9","2019"
157,245,88,191,0.383088545923652,0.00223104376232658,-0.00128863191387329,0.391108711327347,0.362885203106428,0.361322289532693,"9","2020"
